NAME,EMAIL,GENDER,Area,latitude,longitude,,Art-Watercolor Painting,Art-Pastel Painting,Art-Pencil Drawing,Art-Charcoal Drawing,Art-Ink Illustration,Art-Woodcut Printing,Art-Linocut Printing,Art-Etching,Art-Calligraphy,Art-Ceramics,Art-Textile Arts,,Music-Bollywood,Music-Devotional,Music-Indian Classical,Music-Hindustani,Music-Carnatic,Music-Regional Music,Music-Punjabi,Music-Tamil,Music-Telugu,Music-Bengali,Music-Marathi,Music-Kannada,Music-Gujarati,Music-Pop,Music-Hip-Hop and Rap,Music-Electronic,Music-Folk,Music-Sufi and Ghazal,Music-Classical Fusion,Music-New Releases,Music-Bollywood Classics,Music-Mood-Based Playlists,Music-Artist Radio
Sahil Kalita,sahilkalita@gmail.com,Male,HSR Layout,12.8871649,77.65091102,,0,0,0,0,0,0,0,0,0,0,0,,0.112666283,0.820463591,-0.721074655,1.028891642,-0.434126501,-0.13660706,-0.399864813,0.410619382,0.812176697,-0.20685863,-1.156938791,-0.659188046,-0.156210781,-0.528646522,0.739164869,0.261893695,-0.506390579,-0.564222348,0.085791235,0.713877329,-0.457768656,-0.177048388,-0.586650612
Ojas Yohannan,ojasyohannan@yahoo.com,Male,JP Nagar,12.87691856,77.53829578,,0,0,0,0,0,0,0,0,0,0,0,,0.080892228,0.804176678,0.663021041,0.928003016,0.197442176,-0.274854711,-0.080080399,-0.399823859,-0.177838584,0.536727185,0.462377221,0.013326097,-0.274918598,-0.451985331,-0.776988194,0.629839831,0.549190032,0.265895892,0.27489554,-0.981308318,0.017620487,0.047676013,-0.028133596
Reyansh Sandhu,reyanshsandhu@gmail.com,Female,JP Nagar,12.91286065,77.56223527,,0,0,0,0,0,0,0,0,0,0,0,,-1.015753674,-0.259065474,0.507334142,0.274390656,0.030895705,-0.187864624,-0.159276524,0.808128737,0.971213436,0.194833731,-0.367044014,0.1955048,-0.127554959,0.256880811,2.960985263,0.030172226,0.467744712,0.494148713,0.517985503,0.733789797,-0.170651996,0.299726142,0.733302874
Priya Reddy,priya.reddy@outlook.com,Female,Krishnarajapura,13.0154143,77.67703184,,0,0,0,0,0,0,0,0,0,0,0,,0.629885081,-0.312463995,-1.706346481,-2.205236815,-0.125342238,0.465604834,0.386229967,0.359341814,0.105484901,-0.553750369,0.063035497,1.146485276,-0.475463693,-0.131701424,0.067631972,-0.997828779,-0.67257185,-0.66828292,-1.091770765,-0.85794707,-0.91826868,-0.618744699,-0.303667444
Vedika Bali,vedikabali@gmail.com,Male,Koramangala,12.95027348,77.68953111,,0,0,0,0,0,0,0,0,0,0,0,,-1.757138803,-1.419973837,-0.065011829,-1.542332257,-0.14784834,-1.840736316,-0.684604645,-0.287759824,-0.49175824,-2.831227038,-1.47272349,-0.968260437,-2.918896171,0.190799888,1.28832347,1.253164731,-1.340116942,-0.756333371,-0.204193173,0.379227276,-1.056300326,-0.127347388,-0.55588424
Himmat Comar,himmatcomar@gmail.com,Male,HSR Layout,12.91763393,77.68248322,,0,0,0,0,0,0,0,0,0,0,0,,2.348963417,1.11167725,0.047652901,0.128720939,-0.280860608,0.748281368,2.000430001,-0.099176267,0.273300335,1.07352966,0.804258335,0.194739664,1.252130039,0.716040666,-0.376285421,0.351021373,0.910349047,0.498793696,0.384852444,-0.142097674,0.150209617,1.761957064,0.126136331
Reyansh Tella,reyanshtella@gmail.com,Male,Marathahalli,12.96229884,77.70180843,,0,0,0,0,0,0,0,0,0,0,0,,-0.716643244,-0.65737578,-0.568216388,-1.808950542,0.514777543,-0.240656686,0.425686196,-0.836107064,0.480394595,-0.816109181,-1.475839819,0.264900986,1.011693842,-1.474559475,-0.774965308,-0.723360911,-0.328971486,-0.065597442,-0.703152182,-0.610524119,-0.858296927,-1.131836398,-0.609126482
Diya Rau,diyarau@gmail.com,Male,Krishnarajapura,12.99311275,77.72489684,,0,0,0,0,0,0,0,0,0,0,0,,0.701425552,0.881452863,0.434272882,0.705372739,0.632874585,0.192083485,0.095324642,-0.421355013,-0.166792272,-0.051799778,-0.685990492,-0.519975118,-0.329172791,-0.952186429,-1.675234141,-1.504658702,0.082484449,0.261468341,0.419977647,-0.927087645,0.416137865,-0.639419004,-0.693453406
Kanav Subramaniam,kanavsubramaniam@outlook.com,Male,JP Nagar,12.85437086,77.58031515,,0,0,0,0,0,0,0,0,0,0,0,,0.84272823,-0.923323507,0.984079222,-0.715441529,-0.615728341,1.133262921,-0.051608225,0.484204421,-0.077168709,1.533457253,1.584661942,0.149853257,1.414500737,1.699447011,0.789252359,1.141815304,0.932146501,0.261454727,-0.066819154,0.527854296,0.47540205,0.380802754,0.550642074
Advik Varma,advikvarma@outlook.com,Female,Koramangala,12.94071294,77.62960849,,0,0,0,0,0,0,0,0,0,0,0,,-1.877105277,-2.58298702,-2.839824237,-3.062856951,-1.327072895,-1.177752579,-1.029344818,-0.812083051,0.29552836,-1.087371463,-1.485273942,-0.654812795,-1.319127939,-0.237449906,0.386818409,0.803450067,-1.79796266,-2.368141069,-2.396933325,-0.295086611,-1.853618676,-0.546963195,-1.64180223
Umang Bhardwaj,umangbhardwaj@yahoo.com,Male,Marathahalli,12.93567354,77.66803811,,0,0,0,0,0,0,0,0,0,0,0,,-0.035087783,0.281650917,0.77445048,0.436734451,0.24456467,1.0417665,-0.129151316,0.328059588,0.552414083,-0.354158439,0.892932403,-0.087482583,0.322056498,1.040390029,0.606114755,0.416295813,0.800103051,0.917205222,0.682244724,0.886091494,0.622474267,0.434926228,1.140512129
Pihu Tara,pihutara@yahoo.com,Male,HSR Layout,12.93186155,77.65265168,,0,0,0,0,0,0,0,0,0,0,0,,-1.528537738,-0.26390854,0.562969048,0.580473127,0.64777384,-0.694552373,-0.730607171,0.179158282,0.244452499,-0.471773293,-0.113344255,0.505153412,-1.765018611,-1.516074307,-0.632378306,0.296566763,-0.31138379,0.626351256,-0.436989555,0.308602409,0.199140691,0.490839214,0.34504977
Zaina Shroff,zainashroff@yahoo.com,Female,HSR Layout,12.91626671,77.65542543,,0,0,0,0,0,0,0,0,0,0,0,,-0.289576126,-1.740766767,-2.406155764,-2.250136831,-1.451915085,-1.009613744,-0.36274134,-1.527072343,-2.213620471,-1.044191753,-0.155430369,-1.469751927,-2.193424334,-0.525032626,-1.631792374,-2.048002351,-1.424912953,-1.643061314,-1.965315078,-1.626053538,-0.661417563,-1.348034705,-1.631701991
Divyansh Kumar,divyanshkumar@outlook.com,Female,HSR Layout,12.90771913,77.63952074,,0,0,0,0,0,0,0,0,0,0,0,,-1.324543907,-1.325407425,-0.50576752,-1.252713875,-0.935496078,-0.24333985,-0.521558895,-0.357548634,-0.097748476,1.069727578,0.566810862,-0.277961101,0.512048947,-0.527985169,-0.458019856,0.462941349,0.256270761,-0.477984359,-0.156540438,-0.212082002,-0.96205991,-0.969141225,-0.742378623
Sana Mallick,sanamallick@gmail.com,Female,Koramangala,12.9428669,77.60601617,,0,0,0,0,0,0,0,0,0,0,0,,-0.647661498,0.313639757,1.024328031,0.715787434,0.815909419,-0.03303191,-0.822509723,-1.01166382,-0.297042912,-0.375941609,-0.762541283,-0.341900342,0.435179535,-1.128234508,-1.539181745,-1.978003287,0.150831613,-0.882033135,-0.022892338,-1.487105432,-0.476184505,-1.049628562,-1.174045166
Jivika Sami,jivikasami@gmail.com,Female,Indiranagar,12.94564432,77.65605784,,0,0,0,0,0,0,0,0,0,0,0,,-0.34291416,-0.370322614,-0.804981552,-0.642764692,-1.195609871,-1.042691354,-1.59894566,-1.476046783,-0.704462729,-0.71077548,-0.384309737,-1.415795261,-0.436564784,-0.456200909,-0.418368314,-0.668824845,-1.051516317,-0.974832588,-1.326355183,-0.461266284,-1.003629956,-1.805123175,-0.559626146
Heer Zacharia,heerzacharia@gmail.com,Male,Koramangala,12.96323705,77.61573034,,0,0,0,0,0,0,0,0,0,0,0,,1.546162636,2.619674752,0.634480179,0.48046305,1.062177487,2.19070974,1.745780104,1.917492739,1.4066953,2.980096903,1.575722748,1.419498113,4.10705149,0.671131216,-0.931771583,0.394191067,2.031624429,2.185260686,1.942140676,1.019017428,2.210788132,0.815080989,0.89575238
Anay Sridhar,anaysridhar@gmail.com,Male,HSR Layout,12.92452445,77.64596689,,0,0,0,0,0,0,0,0,0,0,0,,-0.683119302,-0.221277524,-0.245727253,0.075303751,-0.261480543,-0.491949681,-0.671054869,-0.398934957,-0.837324101,-0.389165161,0.623520993,0.724033324,-0.57429534,-1.649912259,-1.505414049,-1.577079475,-0.067549644,0.032587068,0.095200873,-1.403021022,-0.254768087,-1.520024469,-0.668675405
Aarav Sandhu,aaravsandhu@outlook.com,Female,HSR Layout,12.90062927,77.67122972,,0,0,0,0,0,0,0,0,0,0,0,,1.184170803,2.391462396,1.56496602,2.07986279,0.998487562,0.228058662,0.343490619,0.281809887,-0.354504367,-0.286095057,-0.209658399,0.141170381,0.564189678,-1.09885497,-1.133588887,-1.335028006,0.084627984,1.477763384,0.796333687,0.110125781,0.007471293,-0.506141956,0.54661404
Shray Devi,shraydevi@gmail.com,Male,JP Nagar,12.88277051,77.57933848,,0,0,0,0,0,0,0,0,0,0,0,,1.315932796,0.55558496,0.984608067,0.405720436,2.21019795,1.483313738,1.028434438,2.022111124,2.085026083,0.920352853,0.458065874,1.674462568,0.991090063,1.964802238,0.300242908,1.572371545,0.840474982,0.661456599,1.609642933,0.630881037,0.971503168,1.786859184,0.714288089
Vivaan Subramaniam,vivaansubramaniam@gmail.com,Male,HSR Layout,12.92230769,77.64670239,,0,0,0,0,0,0,0,0,0,0,0,,-1.776313586,-1.021754522,-0.851135374,-0.119673206,-0.776369346,-0.204486464,-1.718281697,-0.59243075,-0.382329871,0.356694197,0.037786545,-1.360634718,0.116371003,0.14438762,0.695031679,-0.718883384,-0.695959953,-1.00093249,-1.467207087,0.311846235,0.371135377,-1.548010938,-0.728291323
Ishaan Balakrishnan,ishaanbalakrishnan@yahoo.com,Female,Koramangala,12.92484991,77.59843796,,0,0,0,0,0,0,0,0,0,0,0,,-0.362526701,-0.485996121,-0.8607263,-0.660296367,-0.762899554,-1.591536156,-1.351142888,-0.789833624,-0.377104882,-1.134517725,-1.958313219,-1.028075282,-1.371852828,-0.332876134,-0.184486746,-0.150706189,-1.244113637,-1.089121151,-0.371591467,-0.245644122,-0.652556113,-0.13492479,-1.241731998
Bhavin Konda,bhavinkonda@gmail.com,Male,Koramangala,12.92140327,77.62306955,,0,0,0,0,0,0,0,0,0,0,0,,0.515315379,0.085076207,0.409585757,0.689530118,-1.379386592,-2.799094068,-2.467616932,-3.192463181,-2.310219067,-1.688432917,-1.76924743,-3.157240283,-1.562867645,-1.291092466,-2.288847133,-2.352095397,-1.788175106,-1.250210351,-1.720763577,-1.714713434,-1.868020243,-1.827180864,-2.376015636
Madhav Gola,madhavgola@outlook.com,Male,Marathahalli,12.94618523,77.71719672,,0,0,0,0,0,0,0,0,0,0,0,,-1.50421533,-0.523771225,-0.599791461,0.102683161,-0.51411384,-0.670465628,-0.684880695,-2.074688009,-1.635218814,-0.799454304,-0.264218898,-1.563977043,-0.43810109,-2.257693089,-2.242440964,-2.565364415,-1.21306278,-0.878066655,-1.325117917,-0.857559329,-1.465920102,-1.944415548,-1.258661871
Damini Srinivas,daminisrinivas@gmail.com,Male,Krishnarajapura,13.02934509,77.68789743,,0,0,0,0,0,0,0,0,0,0,0,,1.27093946,1.690023836,0.909059594,1.383348974,0.537890342,1.267153288,1.245971761,0.618053379,0.194841297,1.360330808,0.28586676,0.845029432,1.369350786,0.513851431,1.607217941,0.516595636,0.411361421,0.26821848,0.304905755,0.852503551,0.500210049,0.547030822,1.663016089
Kismat Deep,kismatdeep@gmail.com,Female,Sarjapur,12.85179877,77.75451208,,0,0,0,0,0,0,0,0,0,0,0,,-0.146375388,0.120551385,-0.061844096,-1.166063316,0.402557585,-0.238346606,0.20824611,-0.248357098,-0.303056794,-0.055154111,0.523026796,0.474218345,-0.435107094,-1.533055722,-0.139128579,-0.742648608,-0.697010931,-0.353362793,-0.344100098,-1.152513032,-0.847386231,-0.629162967,-1.376270796
Sumer Yohannan,sumeryohannan@gmail.com,Female,HSR Layout,12.93049236,77.64781637,,0,0,0,0,0,0,0,0,0,0,0,,-0.375174137,0.304279021,-0.334999466,-0.183867061,-0.324266801,-0.029295453,-0.711508018,-0.195700049,-0.479081725,0.538958731,0.333444783,-0.789279744,0.33659304,-0.392212766,-0.534131831,-1.203976401,-0.14935002,-0.151363316,-0.266023652,-0.253527362,-0.962976502,-0.959832227,-0.765611644
Vedika Bahl,vedikabahl@gmail.com,Male,Marathahalli,12.92890231,77.67304434,,0,0,0,0,0,0,0,0,0,0,0,,-0.28575171,-0.608829584,0.195173491,-0.252409189,-0.308235391,-0.717376596,-1.301946095,-1.145363615,-1.591361332,0.449791688,-0.610061196,-1.390783361,0.879480697,-0.429928488,-2.315095485,-1.484022495,-0.571646075,-1.273736051,-0.726886079,-1.792265369,-1.165085103,-1.458500209,-1.647505485
Misha Bedi,mishabedi@gmail.com,Male,JP Nagar,12.88387585,77.57718712,,0,0,0,0,0,0,0,0,0,0,0,,2.449668736,1.640624935,1.170550295,2.14121363,2.617761113,2.603798137,2.877622634,2.375376788,1.816640442,0.734667958,-0.263313182,2.959986107,2.635248647,-0.352173209,0.274070756,0.274465331,3.055742536,1.813678911,1.356925842,0.598172209,1.750410292,1.665238836,1.595066934
Aayush Gupta,aayushgupta@yahoo.com,Female,Marathahalli,12.96457824,77.67949358,,0,0,0,0,0,0,0,0,0,0,0,,-0.008323918,0.119035264,0.72712364,0.245012412,-0.381757601,0.086571568,0.083379099,0.35863433,0.061965877,0.246143088,-0.636789489,-0.068963292,0.562000164,0.465821492,1.253005504,1.030212441,-0.471324836,0.189178182,0.921921045,1.510591008,-0.237801693,0.343757822,1.133908513
Purab Barad,purabbarad@gmail.com,Female,Varthur,12.94867009,77.73102163,,0,0,0,0,0,0,0,0,0,0,0,,0.15768998,0.421562799,-0.415716378,-0.024347407,0.706822177,-0.764971629,0.367377296,-0.484114536,-1.12096305,-0.549864606,0.526511773,-1.159175993,-1.252754102,-1.381142225,-0.742026355,-2.29995644,-1.234053851,-0.621390712,-0.955170493,-0.871032822,-0.608025154,-2.422724781,-1.928317443
Nayantara Tata,nayantaratata@gmail.com,Male,Koramangala,12.9180878,77.65933866,,0,0,0,0,0,0,0,0,0,0,0,,-1.166431984,-0.172901542,-0.560717305,-0.533135441,-0.311359678,-0.446846543,-0.3366068,-0.930363563,-1.309861963,-0.468837691,-0.105959861,-0.689752961,-0.484151452,-1.65654192,-1.686500986,-1.734632584,-0.960626575,-1.529897656,-0.741814108,-1.32897563,-1.233222157,-0.841633823,-0.541540406
Riaan Soni,riaansoni@gmail.com,Female,Indiranagar,12.97763054,77.68896029,,0,0,0,0,0,0,0,0,0,0,0,,-1.236205438,-1.788331923,-0.350086731,-0.950162924,-0.130828004,-0.58955649,-1.641537538,-0.224071895,0.349920117,-0.4472732,-1.375698948,-0.215703112,-0.651489756,0.382796025,0.050495507,-0.584876029,-0.683182327,-1.667257114,-0.977843669,-0.866131196,-1.288688705,-0.411015943,-1.078358303
Tarini Srivastava,tarinisrivastava@gmail.com,Male,HSR Layout,12.944824,77.61947173,,0,0,0,0,0,0,0,0,0,0,0,,0.583258388,0.260049462,-0.681734383,-1.171554557,-1.478538939,-1.579500129,-1.121323126,-2.16278709,-1.138008627,-1.367334975,-1.113864758,-0.917723636,-1.258855251,-1.140534295,-1.350942978,-1.745338479,-1.323947441,-0.858835354,-0.98799385,-1.129937145,-1.291936807,-1.482912346,-0.553764029
Anya Rajan,anyarajan@gmail.com,Female,HSR Layout,12.89822624,77.62831455,,0,0,0,0,0,0,0,0,0,0,0,,0.381597951,0.289522434,1.481889914,0.614243751,2.168715314,2.05264645,0.256626331,1.451584995,1.171577935,0.980893685,0.038017484,1.291074401,1.582679432,0.068868482,-1.919554662,-0.608469395,1.992376312,1.539941568,1.135488405,-0.052612158,1.337035937,0.943889719,0.157264222
Renee Ravi,reneeravi@yahoo.com,Female,Marathahalli,12.96166268,77.70027504,,0,0,0,0,0,0,0,0,0,0,0,,0.574873403,-0.923201512,-1.353821276,-1.272725737,-0.869695898,0.141040896,-0.183845092,-0.581128742,-0.454595047,0.184883049,-0.799513979,-0.45179159,0.938553626,0.592946434,-0.037862402,0.337970645,-1.101507163,-0.732642363,-1.217213118,-0.170003079,-0.079447267,-0.7875738,0.008183747
Seher Kota,seherkota@gmail.com,Male,Sarjapur,12.8513486,77.79890164,,0,0,0,0,0,0,0,0,0,0,0,,0.912884657,-0.578816852,0.313392616,-0.000304864,-0.024234055,0.457194541,0.312727605,0.458766942,-0.037063293,-0.177682958,-0.43022448,0.356324019,-0.494071963,0.436281909,-0.285007617,0.982103472,-0.390021231,-1.12152331,-0.655314802,-0.152193843,-0.346790045,0.571590912,0.526609973
Shalv Sami,shalvsami@yahoo.com,Male,JP Nagar,12.87533655,77.62431488,,0,0,0,0,0,0,0,0,0,0,0,,0.915152939,0.405927541,-0.061609425,0.76516115,-0.45062874,0.24402665,0.371531473,-0.69969616,0.176708323,-0.920818459,-0.545667988,0.445551306,-0.601651634,-0.19589587,0.057035394,-0.445732691,0.043340288,0.672666294,0.001639353,-0.591154996,0.43525801,-0.166004149,0.943553876
Vidur Sheth,vidursheth@gmail.com,Male,Koramangala,12.91888241,77.63958851,,0,0,0,0,0,0,0,0,0,0,0,,-1.727551439,-1.536858234,-1.337185563,-1.105683767,-0.967950567,-1.947242618,-0.863422095,-1.474714798,-1.170402312,-0.452429877,-0.89617908,-1.303319084,-1.422156966,-2.757037436,-0.70331703,-2.054865784,-1.253470446,-1.543530622,-1.974339443,-1.012762301,-1.150657451,-2.2014423,-2.429179784
Biju Rajan,bijurajan@yahoo.com,Male,JP Nagar,12.86340301,77.55168675,,0,0,0,0,0,0,0,0,0,0,0,,-1.005519878,-2.540259245,-2.331993851,-2.442648397,-3.687396041,-3.173002381,-2.255925021,-3.097197322,-3.561069051,-2.659268388,-3.18532539,-2.653098941,-2.780799686,-2.430986506,-1.773644397,-1.843202069,-3.198906052,-3.322727134,-4.051647565,-2.406932058,-3.19040563,-2.838459669,-2.213531386
Sanya Mishra,sanya.mishra@gmail.com,Female,JP Nagar,12.90027705,77.6054273,,0,0,0,0,0,0,0,0,0,0,0,,0.613689497,1.392773639,2.495885144,1.598016416,0.928162963,1.23845101,1.514499216,0.70473738,0.340600336,1.702826558,1.636724584,0.345290251,1.827792047,0.216130137,-0.587665172,0.269000203,1.877075877,1.740146073,1.563506938,0.055398157,1.465941763,0.742640576,1.464553888
Dishani Lall,dishanilall@gmail.com,Male,Koramangala,12.94430474,77.63984652,,0,0,0,0,0,0,0,0,0,0,0,,-0.069849468,0.579395077,0.041927589,0.266639522,0.089038354,0.06106621,-0.028615512,0.305247925,-0.328878184,-0.613082711,-0.130545837,1.112970493,0.083149645,0.427871746,-0.062505064,0.418208591,-0.181837617,0.400299251,1.398563951,1.195444313,0.148603178,0.473868676,1.308977631
Shaan Solanki,shaansolanki@gmail.com,Male,Sarjapur,12.85565018,77.79733865,,0,0,0,0,0,0,0,0,0,0,0,,-0.602694312,-2.559483217,-2.114881715,-1.892205372,-1.091192251,-1.828094433,-1.256151544,-0.26124963,-1.776313424,-1.830543555,-2.039935571,-1.29001722,-1.064596011,0.106679441,-0.923030246,-0.926771119,-1.736851226,-0.990666634,-0.988281627,-0.23277035,-0.772007289,-1.702922674,-0.991938697
Navya Tella,navyatella@yahoo.com,Female,Sarjapur,12.86977971,77.77759151,,0,0,0,0,0,0,0,0,0,0,0,,-0.471352533,-1.738781632,-1.905653435,-1.921383268,-2.373876599,-0.672266253,0.692565097,-2.335342207,-1.69863843,-0.531947809,-0.404210076,-1.269758613,1.000246965,-1.187402267,-0.946257636,-1.178676929,-1.240497176,-0.880964514,-1.716178181,-1.424755383,-1.299213499,-1.220532365,-1.778111709
Jivin Bedi,jivinbedi@gmail.com,Male,JP Nagar,12.8729431,77.59363614,,0,0,0,0,0,0,0,0,0,0,0,,-1.546687798,-1.043690437,-1.249866391,-1.122137476,-1.146715546,-0.725830964,-1.809984401,-1.110524921,-1.200827546,-0.120432827,-0.176845295,-1.512885206,-1.544446572,-0.552876429,-0.542701304,-0.738496401,-0.937849622,-1.153097891,-1.322114804,-0.319036022,-0.917611956,-1.063971001,-0.694981693
Sara Tripathi,saratripathi@gmail.com,Male,JP Nagar,12.88360216,77.6256191,,0,0,0,0,0,0,0,0,0,0,0,,-2.444319929,-0.82418762,-0.029152659,-0.826472235,-0.271341523,-1.20417629,-0.372170895,-0.810050523,-0.153583849,-0.12580807,-0.528261351,0.532925209,0.108943845,-1.455657026,-1.160979008,-0.864362588,-0.375576809,-0.117014119,-0.242352795,-0.428631449,0.761817543,-0.094982122,0.001716439
Urvi Dash,urvidash@outlook.com,Male,HSR Layout,12.89549782,77.61399838,,0,0,0,0,0,0,0,0,0,0,0,,1.200655888,-1.384819338,-1.048907533,0.547115983,-0.185026827,0.584151664,2.11923771,0.045752846,0.71437249,-0.830457295,-0.022769088,-0.160886924,-0.8707211,0.69429141,0.625906282,0.90419836,-0.347625631,-0.840375337,-1.193575909,0.380679063,0.22925985,-0.047327531,0.064963281
Kavya Hayre,kavyahayre@outlook.com,Female,Koramangala,12.92950804,77.64980093,,0,0,0,0,0,0,0,0,0,0,0,,1.546949068,0.436325865,-0.595436237,-0.510785368,0.544597239,1.336330166,0.857218104,0.763782339,1.663759408,0.460199489,0.680572889,0.568093523,1.103508898,0.956163347,-0.136572917,0.903684876,1.327371466,1.588876452,1.046781461,1.238281339,1.011435666,0.827796085,0.235659351
Jivin Wagle,jivinwagle@gmail.com,Male,JP Nagar,12.89072329,77.56162355,,0,0,0,0,0,0,0,0,0,0,0,,-0.6995207,-0.231133903,-2.035141347,-0.616605271,-1.577553984,-1.805075825,-0.936674443,-1.264104758,-2.166204356,-1.823672303,-1.093364314,-2.026489314,-1.742628161,-0.803189193,0.663570367,-1.029168152,-1.56806599,-1.693118722,-1.301379419,-0.771846391,-1.433641172,-0.875952984,-1.217215875
Devansh Ramakrishnan,devanshramakrishnan@gmail.com,Male,HSR Layout,12.91007439,77.64105758,,0,0,0,0,0,0,0,0,0,0,0,,-0.563326968,0.114292738,-0.283496,-0.862481565,-0.30465162,-1.550447129,-1.391236848,-0.044154629,0.294243149,-0.688456473,-0.91841732,1.151494335,-0.919439892,-0.643043212,-0.08444312,-0.113740498,-0.531172959,-0.244990018,0.385589246,-0.374837884,-1.027389518,0.889634537,-0.530967133
